Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
227603,Prozac Nation,Elizabeth Wurtzel,"Wurtzel, Elizabeth",,"=""1573225126""","=""9781573225120""",0,3.62,Riverhead Books,Paperback,368,1995,1994,,2011/10/09,,,read,,,,1,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,"=""0385737947""","=""9780385737944""",0,4.04,Delacorte Press,Hardcover,384,2009,2009,,2012/09/03,,,read,,,,1,0
518593,Boot Camp,Todd Strasser,"Strasser, Todd",,"=""141690848X""","=""9781416908487""",0,3.92,Simon & Schuster Children's Publishing,Hardcover,235,2007,2006,,2012/09/03,to-read,to-read (#18),to-read,,,,0,0
12755252,Lucy in the Sky,Anonymous,"Anonymous, Anonymous",,"=""""","=""""",0,4.00,Simon Pulse,Kindle Edition,289,2012,2012,,2012/09/03,to-read,to-read (#17),to-read,,,,0,0
14800895,Panic,Sharon M. Draper,"Draper, Sharon M.",,"=""1442408960""","=""9781442408968""",0,3.51,Atheneum Books for Young Readers ,Hardcover,272,2013,2013,,2012/09/03,to-read,to-read (#17),to-read,,,,0,0
99561,Looking for Alaska,John Green,"Green, John",,"=""""","=""9781435249158""",0,3.98,Speak,Paperback,221,2006,2005,,2011/10/09,,,read,,,,1,1
11138,Mere Christianity,C.S. Lewis,"Lewis, C.S.",,"=""0684823780""","=""9780684823782""",0,4.35,Touchstone Books,Paperback,191,1996,1942,2012/07/19,2011/10/09,,,read,,,,1,1
68783,"Girl, Interrupted",Susanna Kaysen,"Kaysen, Susanna",,"=""0679746048""","=""9780679746041""",0,3.92,Vintage ,Paperback,169,1994,1993,2012/07/16,2011/10/09,,,read,,,,1,0
12753231,"Monument 14 (Monument 14, #1)",Emmy Laybourne,"Laybourne, Emmy",,"=""0312569033""","=""9780312569037""",0,3.90,Feiwel & Friends,Hardcover,304,2012,2012,,2012/07/15,to-read,to-read (#15),to-read,,,,0,0
7741325,"Dash & Lily's Book of Dares (Dash & Lily, #1)",Rachel Cohn,"Cohn, Rachel",David Levithan,"=""0375866590""","=""9780375866593""",0,3.75,Knopf Books for Young Readers,Hardcover,260,2010,2010,,2012/07/15,,,read,,,,1,1
5598690,Crash Into Me,Albert Borris,"Borris, Albert",,"=""1416974350""","=""9781416974352""",0,3.77,Simon & Schuster Books for Young Readers,Hardcover,257,2009,2009,,2012/07/13,,,read,,,,1,1
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",0,4.07,Scholastic Press,Hardcover,398,2010,2010,,2012/05/28,to-read,to-read (#14),to-read,,,,0,0
